FirstName,LastName,Department,Role,Hire Date,Base Salary,Monthly Sales,Sales Target,Commission Rate,Commission Earned,Customer Rating,Customer Complaints,Employee Satisfaction Score,Manager Name,Sales Performance Status,Customer Handling Rate
Nathaniel,Woods,HR,HR Manager,08/01/2019 ,48836,,,,,,,93,Renee Green,Meets Expectation,Need Improvement
Samantha,Oconnell,IT,Data Analyst,1/18/2019,67093,,,,,,,,Daniel Patterson,Meets Expectation,Need Improvement
Amy,Clark,Operations,Logistics Coordinator,5/28/2018,75828,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Michael,Thompson,Marketing,Content Strategist,4/18/2022,68401,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Aaron,Rowe,Customer Support,Support Specialist,3/24/2017,48601,,,,,3,5,,Christopher Ochoa,Meets Expectation,Need Improvement
Cynthia,Stone,HR,Recruiter,9/14/2020,54818,,,,,,,77,Renee Green,Meets Expectation,Need Improvement
Dr.,Stacey,Operations,Logistics Coordinator,12/03/2023 ,59665,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Brandon,Maddox,Finance,Accountant,5/31/2019,74806,,,,,,,,David Davis,Meets Expectation,Need Improvement
Timothy,Holland,Finance,Accountant,1/28/2016,103923,,,,,,,,David Davis,Meets Expectation,Need Improvement
Kevin,Morgan,Operations,Procurement Specialist,2/21/2020,95069,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Nancy,Romero,Marketing,Marketing Analyst,8/24/2020,82132,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Shawn,Patel,Marketing,Content Strategist,8/21/2022,61911,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Spencer,Smith,Operations,Operations Manager,4/26/2023,58930,,,,,,,,Mr. Bradley Welch,Meets Expectation,Need Improvement
Jessica,Bass,Marketing,Marketing Analyst,04/06/2015 ,52694,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
Juan,Olson,HR,Recruiter,10/31/2020,71933,,,,,,,72,Renee Green,Meets Expectation,Need Improvement
Brandon,Cobb,Marketing,Marketing Analyst,5/19/2018,61134,,,,,,,,Trevor Cooper,Meets Expectation,Need Improvement
